Team,Standing,GP,GF-GA,AVG Score,Margin,AST,PTS,Shots,Shot%,Saves,Sav%,Pen,PPG,SHG,Home,Home ATT,Home Att Avg,Away,Away Att,Away Att Avg,Neutral,Neutral Att,Neutral Att Avg,All,All Att,All Att Avg
Amherst,5,25,86 - 73,3.4 - 2.9,0.52,132,218,873,0.1,666,0.901,84 - 204:00,16,2,11,1613,146,14,4047,289,0,0,0,25,5660,226
Bowdoin,2,25,68 - 54,2.7 - 2.2,0.56,102,170,751,0.09,666,0.928,98 - 207:00,12,2,14,9044,646,11,3788,344,0,0,0,25,12832,513
Colby,8,25,68 - 63,2.7 - 2.5,0.2,103,171,785,0.09,651,0.912,105 - 254:00,12,0,14,4097,292,11,5101,463,0,0,0,25,9198,367
Conn. College,6,25,64 - 72,2.6 - 2.9,-0.32,105,169,741,0.09,715,0.909,90 - 194:00,10,2,11,3555,323,14,3500,250,0,0,0,25,7055,282
Hamilton,4,26,82 - 62,3.2 - 2.4,0.77,137,219,923,0.09,775,0.926,96 - 206:00,16,3,16,4846,302,10,2809,280,0,0,0,26,7655,294
Middlebury,7,26,59 - 77,2.3 - 3.0,-0.69,97,156,683,0.09,740,0.909,84 - 179:00,11,3,12,5684,473,14,6755,482,0,0,0,26,12439,478
Trinity,1,30,98 - 37,3.3 - 1.2,2.03,157,255,1060,0.09,618,0.944,104 - 230:00,19,1,20,6223,311,10,5417,541,0,0,0,30,11640,388
Tufts,3,27,76 - 62,2.8 - 2.3,0.52,122,198,872,0.09,875,0.936,91 - 199:00,10,0,13,2920,224,14,4158,297,0,0,0,27,7078,262
Wesleyan,10,24,37 - 71,1.5 - 3.0,-1.42,66,103,626,0.06,806,0.919,77 - 162:00,8,3,13,1894,145,11,3416,310,0,0,0,24,5310,221
Williams,9,24,58 - 84,2.4 - 3.5,-1.08,95,153,757,0.08,692,0.892,84 - 185:00,9,0,12,2594,216,12,3433,286,0,0,0,24,6027,251
