Team,Standing,GP,GF-GA,AVG Score,Margin,AST,PTS,Shots,Shot%,Saves,Sav%,Pen,PPG,SHG,Home,Home ATT,Home Att Avg,Away,Away Att,Away Att Avg,Neutral,Neutral Att,Neutral Att Avg,All,All Att,All Att Avg
Amherst,7,25,60 - 61,2.4 - 2.4,-0.04,92,152,741,0.08,592,0.907,83 - 169:00,14,1,11,2450,222,14,6314,451,0,0,0,25,8764,350
Bowdoin,2,26,88 - 50,3.4 - 1.9,1.46,132,220,728,0.12,698,0.933,98 - 207:00,17,0,15,8603,573,11,4245,385,0,0,0,26,12848,494
Colby,10,24,64 - 69,2.7 - 2.9,-0.21,94,158,663,0.1,676,0.907,93 - 189:00,8,1,11,3834,348,13,5497,422,0,0,0,24,9331,388
Conn. College,8,25,71 - 87,2.8 - 3.5,-0.64,109,180,728,0.1,709,0.891,125 - 272:00,11,5,12,3226,268,13,4404,338,0,0,0,25,7630,305
Hamilton,1,30,113 - 55,3.8 - 1.8,1.93,198,311,1058,0.11,671,0.924,97 - 197:00,30,2,16,6961,435,14,11060,790,0,0,0,30,18021,600
Middlebury,4,27,70 - 67,2.6 - 2.5,0.11,125,195,866,0.08,762,0.919,112 - 235:00,17,0,13,9551,734,14,5449,389,0,0,0,27,15000,555
Trinity,9,24,83 - 63,3.5 - 2.6,0.83,136,219,846,0.1,560,0.899,98 - 210:00,16,2,12,2229,185,12,3296,274,0,0,0,24,5525,230
Tufts,3,25,76 - 66,3.0 - 2.6,0.4,126,202,713,0.11,699,0.914,88 - 176:00,11,1,12,2418,201,13,4046,311,0,0,0,25,6464,258
Wesleyan,5,25,53 - 76,2.1 - 3.0,-0.92,88,141,652,0.08,828,0.916,93 - 208:00,12,2,12,1868,155,13,6436,495,0,0,0,25,8304,332
Williams,6,28,84 - 100,3.0 - 3.6,-0.57,148,232,897,0.09,806,0.89,111 - 224:00,22,0,11,2595,235,17,11665,686,0,0,0,28,14260,509
